seed,position,intensity,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep,career_output_sum,decisive_moments,clubs_served,longest_club_tenure,winning,accolades,output,longevity,decisive,loyalty,icon,head_to_head,score_Trophy Cabinet,score_Eye-Test Romantics,score_Stats Purists,score_Loyalty Traditionalists
700220,Defender,High,64,89,86,93,20,39,54,600,2,0,54,50,70,False,50,50,23270,0,1,20,40,10,46,100,0,100,50,50,35,27,51,64
700221,Forward,Low,64,81,79,92,20,39,166,600,2,0,52,50,70,False,50,50,22885,0,1,20,40,10,45,100,0,100,50,50,35,27,51,64
700222,Forward,Medium,63,88,86,94,20,39,163,600,1,0,60,50,70,False,50,50,26731,0,1,20,20,5,52,100,0,100,50,50,27,25,51,61
700223,Forward,High,63,93,91,96,20,39,179,600,2,0,59,50,70,False,50,50,26341,0,1,20,40,10,51,100,0,100,50,50,35,28,53,64
700216,Midfielder,Low,64,81,79,94,20,39,28,600,3,0,68,53,70,False,50,50,28437,0,1,20,60,15,57,100,0,100,50,50,43,32,58,68
700217,Midfielder,Medium,64,86,81,93,20,39,31,600,2,0,69,53,70,False,50,50,28703,0,1,20,40,10,58,100,0,100,50,50,36,29,56,65
700218,Midfielder,High,64,89,87,93,20,39,40,600,2,0,57,50,70,False,50,50,25994,0,1,20,40,10,50,100,0,100,50,50,35,28,53,64
700219,Defender,Low,64,83,78,96,20,39,53,600,0,0,56,50,70,False,50,50,25490,0,1,20,0,0,49,100,0,100,50,50,19,22,47,57
700100,Defender,Medium,64,84,80,92,20,39,66,567,3,0,48,50,70,False,50,50,12212,0,1,20,60,15,34,100,0,100,50,50,41,29,49,66
700101,Defender,High,64,91,85,95,20,39,72,569,1,0,48,50,70,False,50,50,12119,0,1,20,20,5,34,100,0,100,50,50,26,23,43,59
700102,Forward,Low,64,82,80,93,20,39,159,576,2,0,48,50,70,False,50,50,12634,0,1,20,40,10,34,100,0,100,50,50,33,26,46,62
