seed,position,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep
763765,Forward,64,90,88,92,20,39,172,599,2,0,54,50,70,false,50,50
763766,Midfielder,77,93,90,96,20,39,29,586,2,0,52,50,70,false,50,50
763767,Defender,77,93,90,97,20,39,62,587,1,0,52,50,70,false,50,50
763760,Forward,64,90,88,93,20,39,180,600,1,0,54,50,70,false,50,50
763761,Midfielder,75,91,86,94,20,39,45,600,3,0,54,50,70,false,50,50
763762,Defender,75,90,86,93,20,39,67,600,3,0,52,50,70,false,50,50
763763,Forward,64,90,88,93,20,39,182,599,0,0,52,50,70,false,50,50
763772,Midfielder,74,93,92,96,20,39,32,599,4,0,53,50,70,false,50,50
763773,Defender,76,91,87,94,20,39,64,599,2,0,53,50,70,false,50,50
763774,Forward,64,90,88,93,20,39,188,595,2,0,53,50,70,false,50,50
763775,Midfielder,75,92,89,94,20,39,37,595,1,0,53,50,70,false,50,50
763768,Defender,75,90,86,93,20,39,54,598,2,0,53,50,70,false,50,50
763769,Forward,66,92,90,95,20,39,175,599,1,0,53,50,70,false,50,50
763770,Midfielder,74,90,87,93,20,39,41,600,1,0,53,50,70,false,50,50
763771,Defender,73,89,87,93,20,39,53,600,0,0,53,50,70,false,50,50
763652,Forward,66,92,90,95,20,39,181,600,0,0,52,50,70,false,50,50
763653,Midfielder,75,91,89,94,20,39,27,600,0,0,53,50,70,false,50,50
763654,Defender,73,92,88,95,20,39,53,600,5,0,48,50,70,false,50,50
763655,Forward,63,89,87,92,20,39,162,600,0,0,49,50,70,false,50,50
763648,Midfielder,76,92,90,95,20,39,23,600,1,0,47,50,70,false,50,50
763649,Defender,73,92,89,96,20,39,63,600,2,0,47,50,70,false,50,50
763650,Forward,64,91,89,94,20,39,163,600,3,0,55,50,70,false,50,50
763651,Midfielder,75,91,88,93,20,39,28,600,3,0,54,50,70,false,50,50
763660,Defender,71,89,86,92,20,39,60,600,3,0,52,50,70,false,50,50
763661,Forward,66,93,91,96,20,39,169,600,5,0,53,50,70,false,50,50
763662,Midfielder,75,91,88,94,20,39,35,600,3,0,61,53,70,false,50,50
763663,Defender,75,91,88,94,20,39,67,600,4,0,61,54,70,false,50,50
763656,Forward,63,90,88,93,20,39,142,600,2,0,53,50,70,false,50,50
763657,Midfielder,73,89,87,92,20,39,31,600,3,0,54,50,70,false,50,50
763658,Defender,75,90,87,94,20,39,56,600,1,0,52,50,70,false,50,50
763659,Forward,65,91,89,93,20,39,193,600,2,0,49,50,70,false,50,50
763668,Midfielder,73,93,91,95,20,39,36,600,1,0,52,50,70,false,50,50
763669,Defender,73,93,90,97,20,39,61,600,0,0,53,50,70,false,50,50
763670,Forward,64,91,89,93,20,39,171,600,1,0,59,50,70,false,50,50
763671,Midfielder,74,90,88,93,20,39,39,600,1,0,58,50,70,false,50,50
763664,Defender,75,90,86,93,20,39,58,600,2,0,61,51,70,false,50,50
763665,Forward,64,90,88,93,20,39,167,600,1,0,61,51,70,false,50,50
763666,Midfielder,73,92,90,95,20,39,33,600,3,0,64,51,70,false,50,50
763667,Defender,75,89,87,93,20,39,59,600,2,0,66,51,70,false,50,50
763676,Forward,62,88,86,91,20,39,166,600,1,0,63,51,70,false,50,50
763677,Midfielder,73,90,88,93,20,39,33,600,1,0,62,51,70,false,50,50
763678,Defender,76,91,86,94,20,39,61,600,3,0,53,50,70,false,50,50
763679,Forward,66,93,91,96,20,39,189,600,3,0,55,50,70,false,50,50
763672,Midfielder,74,91,89,93,20,39,28,600,2,0,51,50,70,false,50,50
763673,Defender,74,89,85,93,20,39,53,600,0,0,51,50,70,false,50,50
763674,Forward,65,91,89,94,20,39,173,600,0,0,65,51,70,false,50,50
763675,Midfielder,75,92,90,95,20,39,39,600,1,0,65,51,70,false,50,50
763684,Defender,76,91,86,94,20,39,65,580,3,0,52,50,70,false,50,50
763685,Forward,64,90,88,93,20,39,166,581,3,0,52,50,70,false,50,50
763686,Midfielder,73,90,88,93,20,39,43,582,3,0,52,50,70,false,50,50
763687,Defender,73,88,84,91,20,39,67,579,2,0,52,50,70,false,50,50
763680,Forward,65,90,88,93,20,39,161,588,0,0,54,50,70,false,50,50
763681,Midfielder,74,93,91,95,20,39,25,587,0,0,54,50,70,false,50,50
763682,Defender,75,91,88,94,20,39,76,581,2,0,55,50,70,false,50,50
763683,Forward,64,92,90,94,20,39,185,583,2,0,55,50,70,false,50,50
763692,Midfielder,75,91,88,94,20,39,39,581,2,0,49,50,70,false,50,50
763693,Defender,76,93,90,96,20,39,65,581,0,0,49,50,70,false,50,50
763694,Forward,66,93,91,96,20,39,207,585,2,0,50,50,70,false,50,50
763695,Midfielder,73,88,84,91,20,39,36,584,2,0,51,50,70,false,50,50
763688,Defender,74,89,86,92,20,39,54,581,1,0,52,50,70,false,50,50
763689,Forward,62,90,88,92,20,39,159,580,2,0,52,50,70,false,50,50
763690,Midfielder,72,92,90,95,20,39,24,582,1,0,51,50,70,false,50,50
763691,Defender,75,90,87,94,20,39,46,582,2,0,51,50,70,false,50,50
763700,Forward,64,90,89,93,20,39,177,580,2,0,54,50,70,false,50,50
763701,Midfielder,73,89,86,92,20,39,31,581,2,0,54,50,70,false,50,50
763702,Defender,75,93,90,97,20,39,68,576,3,0,52,50,70,false,50,50
763703,Forward,63,91,89,94,20,39,189,577,3,0,51,50,70,false,50,50
763696,Midfielder,71,93,91,95,20,39,39,588,3,0,53,50,70,false,50,50
763697,Defender,73,92,89,95,20,39,50,588,3,0,54,50,70,false,50,50
763698,Forward,65,91,89,93,20,39,179,579,1,0,52,50,70,false,50,50
763699,Midfielder,74,90,87,93,20,39,37,579,4,0,52,50,70,false,50,50
763708,Defender,75,93,90,97,20,39,68,580,0,0,52,50,70,false,50,50
763709,Forward,67,93,91,96,20,39,170,580,3,0,52,50,70,false,50,50
763710,Midfielder,74,91,89,93,20,39,32,581,3,0,52,50,70,false,50,50
763711,Defender,73,92,89,95,20,39,55,581,3,0,52,50,70,false,50,50
763704,Forward,66,93,91,95,20,39,193,581,2,0,54,50,70,false,50,50
763705,Midfielder,73,90,88,93,20,39,36,582,2,0,54,50,70,false,50,50
763706,Defender,75,90,87,94,20,39,48,585,3,0,51,50,70,false,50,50
763707,Forward,64,91,89,93,20,39,163,583,3,0,51,50,70,false,50,50
763588,Midfielder,71,90,88,93,20,39,28,600,3,0,52,50,70,false,50,50
763589,Defender,77,92,86,96,20,39,55,600,3,0,52,50,70,false,50,50
763590,Forward,64,90,88,93,20,39,167,600,2,0,49,50,70,false,50,50
763591,Midfielder,73,90,88,92,20,39,34,600,1,0,49,50,70,false,50,50
763584,Defender,78,94,90,97,20,39,72,600,4,0,50,50,70,false,50,50
763585,Forward,63,88,86,91,20,39,156,600,4,0,50,50,70,false,50,50
763586,Midfielder,75,91,89,94,20,39,31,599,6,0,48,50,70,false,50,50
763587,Defender,76,93,90,97,20,39,57,599,0,0,48,50,70,false,50,50
763596,Forward,64,91,89,94,20,39,196,599,2,0,52,50,70,false,50,50
763597,Midfielder,73,91,89,93,20,39,27,598,1,0,52,50,70,false,50,50
763598,Defender,75,90,86,94,20,39,53,600,0,0,51,50,70,false,50,50
763599,Forward,64,90,88,93,20,39,170,600,4,0,51,50,70,false,50,50
763592,Midfielder,76,92,89,95,20,39,42,600,2,0,50,50,70,false,50,50
763593,Defender,75,90,87,94,20,39,46,600,2,0,50,50,70,false,50,50
763594,Forward,64,91,89,94,20,39,178,600,1,0,48,50,70,false,50,50
763595,Midfielder,74,90,88,93,20,39,47,600,3,0,48,50,70,false,50,50
763604,Defender,75,90,87,94,20,39,52,596,1,0,52,50,70,false,50,50
763605,Forward,64,91,89,94,20,39,160,596,3,0,52,50,70,false,50,50
763606,Midfielder,76,92,87,95,20,39,28,597,1,0,52,50,70,false,50,50
763607,Defender,74,90,87,94,20,39,52,600,0,0,51,50,70,false,50,50
763600,Forward,64,90,88,93,20,39,165,600,1,0,55,50,70,false,50,50
763601,Midfielder,74,90,83,93,20,39,18,600,3,0,55,50,70,false,50,50
763602,Defender,74,91,88,94,20,39,59,590,0,0,52,50,70,false,50,50
763603,Forward,67,94,92,96,20,39,180,592,2,0,52,50,70,false,50,50
763612,Midfielder,74,90,85,93,20,39,32,593,4,0,52,50,70,false,50,50
763613,Defender,76,92,89,95,20,39,71,594,4,0,52,50,70,false,50,50
763614,Forward,65,91,89,94,20,39,181,596,2,0,52,50,70,false,50,50
763615,Midfielder,75,92,90,95,20,39,29,596,7,0,52,50,70,false,50,50
763608,Defender,76,93,90,96,20,39,57,598,4,0,52,50,70,false,50,50
763609,Forward,67,94,92,96,20,39,208,597,3,0,52,50,70,false,50,50
763610,Midfielder,73,90,88,93,20,39,31,600,2,0,54,50,70,false,50,50
763611,Defender,75,90,86,94,20,39,37,600,4,0,54,50,70,false,50,50
763620,Forward,63,90,88,92,20,39,178,600,4,0,46,50,70,false,50,50
763621,Midfielder,77,93,88,96,20,39,33,599,1,0,45,50,70,false,50,50
763622,Defender,71,91,88,95,20,39,62,600,3,0,46,50,70,false,50,50
763623,Forward,65,91,89,94,20,39,189,600,3,0,46,50,70,false,50,50
763616,Midfielder,76,92,85,95,20,39,29,600,0,0,45,50,70,false,50,50
763617,Defender,74,89,85,92,20,39,56,600,3,0,45,50,70,false,50,50
763618,Forward,64,90,88,93,20,39,165,600,0,0,45,50,70,false,50,50
763619,Midfielder,74,91,89,94,20,39,36,600,2,0,45,50,70,false,50,50
763628,Defender,75,89,87,93,20,39,62,600,0,0,47,50,70,false,50,50
763629,Forward,63,90,88,93,20,39,205,600,3,0,47,50,70,false,50,50
763630,Midfielder,74,90,87,93,20,39,32,600,0,0,47,50,70,false,50,50
763631,Defender,75,91,88,94,20,39,61,600,1,0,48,50,70,false,50,50
763624,Forward,63,90,88,92,20,39,176,600,3,0,46,50,70,false,50,50
763625,Midfielder,74,90,88,93,20,39,26,600,3,0,47,50,70,false,50,50
763626,Defender,75,91,88,95,20,39,58,600,2,0,46,50,70,false,50,50
763627,Forward,62,87,85,90,20,39,168,600,0,0,46,50,70,false,50,50
763636,Midfielder,76,92,86,95,20,39,33,600,1,0,44,50,70,false,50,50
763637,Defender,77,93,87,96,20,39,56,600,5,0,44,50,70,false,50,50
763638,Forward,65,90,88,93,20,39,174,588,3,0,44,50,70,false,50,50
763639,Midfielder,72,88,86,91,20,39,49,588,2,0,44,50,70,false,50,50
763632,Defender,76,91,87,94,20,39,57,598,1,0,43,50,70,false,50,50
763633,Forward,64,90,88,93,20,39,183,598,3,0,43,50,70,false,50,50
763634,Midfielder,74,91,89,94,20,39,32,600,1,0,42,50,70,false,50,50
763635,Defender,74,90,87,94,20,39,40,600,0,0,43,50,70,false,50,50
763644,Forward,64,90,88,93,20,39,176,600,1,0,45,50,70,false,50,50
763645,Midfielder,75,91,88,93,20,39,27,598,2,0,45,50,70,false,50,50
763646,Defender,73,93,90,96,20,39,69,599,1,0,45,50,70,false,50,50
763647,Forward,64,90,88,93,20,39,186,599,2,0,45,50,70,false,50,50
763640,Midfielder,74,92,90,95,20,39,28,600,2,0,44,50,70,false,50,50
763641,Defender,73,90,87,94,20,39,49,600,3,0,44,50,70,false,50,50
763642,Forward,65,91,89,94,20,39,184,600,2,0,44,50,70,false,50,50
763643,Midfielder,74,91,89,94,20,39,25,600,2,0,44,50,70,false,50,50
763524,Defender,74,89,86,93,20,39,58,600,3,0,58,50,70,false,50,50
763525,Forward,65,91,89,94,20,39,174,600,3,0,58,50,70,false,50,50
763526,Midfielder,73,91,89,93,20,39,41,600,1,0,56,50,70,false,50,50
763527,Defender,75,90,88,94,20,39,67,600,4,0,56,50,70,false,50,50
763520,Forward,64,90,88,93,20,39,152,600,3,0,57,50,70,false,50,50
763521,Midfielder,75,91,89,94,20,39,35,600,4,0,57,50,70,false,50,50
763522,Defender,74,89,86,93,20,39,58,600,3,0,55,50,70,false,50,50
763523,Forward,63,90,88,93,20,39,171,600,4,0,55,50,70,false,50,50
763532,Midfielder,70,88,86,91,20,39,40,600,3,0,58,50,70,false,50,50
763533,Defender,76,91,86,94,20,39,47,600,4,0,58,50,70,false,50,50
763534,Forward,64,89,87,92,20,39,182,600,0,0,58,50,70,false,50,50
763535,Midfielder,74,91,89,94,20,39,29,600,1,0,57,50,70,false,50,50
763528,Defender,71,88,85,92,20,39,52,600,2,0,57,50,70,false,50,50
763529,Forward,64,92,90,95,20,39,164,600,4,0,57,50,70,false,50,50
763530,Midfielder,73,92,90,95,20,39,39,600,2,0,55,50,70,false,50,50
763531,Defender,78,93,89,97,20,39,57,600,4,0,55,50,70,false,50,50
763540,Forward,64,93,91,96,20,39,183,600,4,0,56,50,70,false,50,50
763541,Midfielder,73,92,90,94,20,39,26,600,1,0,55,50,70,false,50,50
763542,Defender,74,90,87,93,20,39,56,600,2,0,58,50,70,false,50,50
763543,Forward,66,92,90,94,20,39,173,600,3,0,59,50,70,false,50,50
763536,Midfielder,72,94,92,97,20,39,28,600,1,0,61,51,70,false,50,50
763537,Defender,73,91,88,94,20,39,73,600,3,0,60,50,70,false,50,50
763538,Forward,64,90,88,93,20,39,169,600,1,0,58,50,70,false,50,50
763539,Midfielder,74,90,83,93,20,39,30,600,3,0,58,50,70,false,50,50
