seed,position,intensity,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep,career_output_sum,scouted_avg,offer_seasons,offers_total,offers_wage_avg,offers_wage_max
763857,Midfielder,Low,64,81,77,93,20,39,24,595,2,0,59,50,70,false,50,50,25243,99,11,17,196,286
763858,Midfielder,Medium,64,87,83,94,20,39,31,600,2,0,64,52,70,false,50,50,27626,99,11,16,197,266
763859,Midfielder,High,64,88,87,92,20,39,21,600,3,0,64,52,70,false,50,50,27554,99,5,7,205,258
763868,Defender,Low,64,83,80,96,20,39,48,600,2,0,64,52,70,false,50,50,28298,99,10,17,229,295
763869,Defender,Medium,64,85,82,93,20,39,52,599,2,0,62,51,70,false,50,50,27817,99,7,11,225,313
763870,Defender,High,64,91,87,95,20,39,55,600,3,0,59,50,70,false,50,50,27129,99,12,19,209,300
763871,Forward,Low,64,84,82,96,20,39,160,600,2,0,59,50,70,false,50,50,27193,99,9,12,217,292
763864,Forward,Medium,64,87,85,93,20,39,148,598,1,0,61,51,70,false,50,50,26688,99,9,14,195,277
763865,Forward,High,64,91,89,94,20,39,161,598,1,0,61,51,70,false,50,50,26678,99,10,17,218,309
763866,Midfielder,Low,64,82,80,94,20,39,32,592,1,0,63,52,70,false,50,50,25907,96,9,12,216,294
763867,Midfielder,Medium,64,85,83,91,20,39,28,593,0,0,63,52,70,false,50,50,26179,97,11,18,230,295
763876,Midfielder,High,64,90,88,93,20,39,27,600,4,0,53,50,70,false,50,50,19567,99,10,18,216,295
763877,Defender,Low,64,84,80,97,20,39,49,600,1,0,53,50,70,false,50,50,19478,99,11,19,212,299
763878,Defender,Medium,64,87,83,95,20,39,41,600,1,0,54,50,70,false,50,50,20049,99,12,17,212,294
763879,Defender,High,64,89,86,93,20,39,59,600,1,0,54,50,70,false,50,50,20005,99,11,15,216,296
763872,Forward,Low,64,83,81,95,20,39,171,600,2,0,53,50,70,false,50,50,21370,99,13,20,205,270
763873,Forward,Medium,64,89,87,96,20,39,171,600,2,0,53,50,70,false,50,50,20208,99,11,15,228,305
763874,Forward,High,62,91,89,94,20,39,182,600,3,0,54,50,70,false,50,50,18443,99,11,15,195,267
763875,Midfielder,Low,64,81,78,94,20,39,32,600,0,0,54,50,70,false,50,50,17878,99,10,14,222,309
763884,Midfielder,Medium,64,85,81,92,20,39,26,600,0,0,55,50,70,false,50,50,17977,99,11,16,214,281
763885,Midfielder,High,64,90,88,94,20,39,26,600,4,0,55,50,70,false,50,50,17607,99,4,5,215,292
763886,Defender,Low,64,84,81,97,20,39,46,600,1,0,56,50,70,false,50,50,20692,99,9,12,203,278
763887,Defender,Medium,64,89,86,97,20,39,49,600,3,0,56,50,70,false,50,50,21007,99,6,10,206,278
763880,Defender,High,64,91,85,96,20,39,68,600,1,0,55,50,70,false,50,50,16273,99,11,12,217,286
763881,Forward,Low,64,83,81,94,20,39,173,600,0,0,55,50,70,false,50,50,16678,99,10,15,235,311
763882,Forward,Medium,64,88,87,95,20,39,168,599,3,0,56,50,70,false,50,50,20160,99,10,12,208,288
763883,Forward,High,64,92,90,95,20,39,176,599,2,0,56,50,70,false,50,50,19606,99,9,12,229,289
763892,Midfielder,Low,64,81,79,94,20,39,23,600,2,0,44,50,70,false,50,50,17770,99,9,14,201,302
763893,Midfielder,Medium,64,88,85,95,20,39,17,600,3,0,44,50,70,false,50,50,17860,99,8,12,219,294
763894,Midfielder,High,64,87,85,90,20,39,28,600,0,0,47,50,70,false,50,50,19688,99,10,14,208,292
763895,Defender,Low,64,81,78,94,20,39,52,600,1,0,47,50,70,false,50,50,19875,99,14,21,228,304
763888,Defender,Medium,64,85,82,93,20,39,59,600,1,0,42,50,70,false,50,50,18149,99,13,18,233,309
763889,Defender,High,64,91,88,95,20,39,56,600,0,0,42,50,70,false,50,50,17876,99,7,11,212,281
763890,Forward,Low,64,84,82,95,20,39,172,600,0,0,42,50,70,false,50,50,17363,99,8,11,252,306
763891,Forward,Medium,64,86,84,92,20,39,160,600,2,0,41,50,70,false,50,50,17519,99,7,10,209,296
763900,Forward,High,64,90,89,93,20,39,166,599,3,0,41,50,70,false,50,50,15671,99,9,14,195,267
763901,Midfielder,Low,64,81,77,93,20,39,33,600,3,0,41,50,70,false,50,50,15345,99,9,16,218,301
763902,Midfielder,Medium,64,87,85,94,20,39,26,600,6,0,42,50,70,false,50,50,19148,99,12,16,204,290
763903,Midfielder,High,64,88,84,92,20,39,26,600,2,0,42,50,70,false,50,50,19224,99,9,17,199,281
763896,Defender,Low,64,84,81,97,20,39,54,598,6,0,41,50,70,false,50,50,14406,99,13,18,221,290
763897,Defender,Medium,64,87,84,95,20,39,53,598,3,0,41,50,70,false,50,50,14261,99,11,17,221,292
763898,Defender,High,64,92,86,96,20,39,58,595,2,0,43,50,70,false,50,50,16218,99,12,16,210,291
763899,Forward,Low,64,82,80,93,20,39,170,597,5,0,43,50,70,false,50,50,16376,99,10,16,201,291
763780,Forward,Medium,62,86,84,92,20,39,162,577,3,0,50,50,70,false,50,50,17197,96,9,10,229,283
763781,Forward,High,64,93,91,96,20,39,204,575,2,0,50,50,70,false,50,50,17200,96,11,18,201,268
763782,Midfielder,Low,64,82,80,95,20,39,29,581,1,0,51,50,70,false,50,50,18449,97,9,14,201,265
763783,Midfielder,Medium,64,86,84,93,20,39,26,582,2,0,53,50,70,false,50,50,18853,97,10,18,237,312
763776,Midfielder,High,64,92,91,96,20,39,28,582,1,0,54,50,70,false,50,50,19680,96,9,14,226,284
763777,Defender,Low,64,82,77,95,20,39,57,582,2,0,55,50,70,false,50,50,20023,96,13,20,201,286
763778,Defender,Medium,64,85,82,93,20,39,46,579,4,0,49,50,70,false,50,50,17537,96,13,17,208,290
763779,Defender,High,64,90,87,94,20,39,69,578,5,0,48,50,70,false,50,50,17462,96,11,19,204,287
763788,Forward,Low,62,79,77,90,20,39,147,585,3,0,61,51,70,false,50,50,21189,96,8,16,210,270
763789,Forward,Medium,64,87,85,93,20,39,191,582,4,0,58,50,70,false,50,50,20264,96,10,13,189,231
763790,Forward,High,64,90,88,93,20,39,176,585,2,0,49,50,70,false,50,50,18399,97,6,11,201,257
763791,Midfielder,Low,64,81,79,94,20,39,30,584,6,0,49,50,70,false,50,50,18449,96,13,21,238,302
763784,Midfielder,Medium,64,87,85,93,20,39,30,588,2,0,59,50,70,false,50,50,21609,98,10,13,230,291
763785,Midfielder,High,64,92,87,96,20,39,15,587,2,0,58,50,70,false,50,50,21372,96,11,18,202,300
763786,Defender,Low,64,83,77,97,20,39,58,575,4,0,54,50,70,false,50,50,18654,95,7,9,214,290
763787,Defender,Medium,64,87,84,95,20,39,59,576,1,0,53,50,70,false,50,50,18629,96,8,11,226,292
763796,Defender,High,64,89,87,94,20,39,50,569,2,0,51,50,70,false,50,50,17561,96,10,15,205,270
763797,Forward,Low,64,82,80,94,20,39,151,568,1,0,50,50,70,false,50,50,17650,96,10,16,226,298
763798,Forward,Medium,64,89,87,96,20,39,170,579,4,0,55,50,70,false,50,50,19774,95,10,18,201,288
763799,Forward,High,63,93,92,96,20,39,192,579,2,0,55,50,70,false,50,50,20069,95,9,12,197,283
763792,Midfielder,Low,64,81,78,93,20,39,33,584,3,0,52,50,70,false,50,50,19528,97,11,19,221,304
763793,Midfielder,Medium,64,87,84,94,20,39,26,584,3,0,53,50,70,false,50,50,19767,96,11,15,204,288
763794,Midfielder,High,64,87,86,91,20,39,37,583,2,0,59,50,70,false,50,50,21070,96,11,18,210,289
763795,Defender,Low,64,84,80,96,20,39,45,581,2,0,60,50,70,false,50,50,21058,96,11,17,214,300
763804,Defender,Medium,64,87,82,94,20,39,53,579,2,0,57,50,70,false,50,50,20545,96,8,11,224,302
763805,Defender,High,64,89,86,92,20,39,50,578,4,0,56,50,70,false,50,50,20256,96,12,18,224,295
763806,Forward,Low,64,82,80,93,20,39,162,581,2,0,52,50,70,false,50,50,20006,95,12,18,219,306
763807,Forward,Medium,64,87,85,94,20,39,177,581,4,0,52,50,70,false,50,50,20298,95,10,18,204,285
763800,Forward,High,64,90,88,93,20,39,194,575,4,0,49,50,70,false,50,50,18247,97,13,21,214,302
763801,Midfielder,Low,64,82,79,94,20,39,25,574,4,0,48,50,70,false,50,50,17985,96,11,18,222,307
763802,Midfielder,Medium,64,89,88,97,20,39,21,564,1,0,51,50,70,false,50,50,18352,94,4,7,227,286
763803,Midfielder,High,64,89,88,93,20,39,29,565,2,0,52,50,70,false,50,50,18329,93,9,12,184,219
763812,Defender,Low,64,80,77,93,20,39,61,600,3,0,62,52,70,false,50,50,29256,99,9,14,206,278
763813,Defender,Medium,64,86,83,93,20,39,65,600,4,0,62,52,70,false,50,50,29499,99,10,14,210,299
763814,Defender,High,64,91,87,95,20,39,52,600,2,0,58,50,70,false,50,50,26809,99,10,17,212,291
763815,Forward,Low,64,82,80,93,20,39,172,600,2,0,55,50,70,false,50,50,25567,99,11,15,204,268
763808,Forward,Medium,64,88,87,95,20,39,158,600,1,0,62,51,70,false,50,50,28851,99,11,17,237,305
763809,Forward,High,64,94,92,97,20,39,174,600,2,0,62,51,70,false,50,50,28661,99,10,16,219,290
763810,Midfielder,Low,64,83,81,95,20,39,35,600,1,0,64,51,70,false,50,50,29178,99,4,7,227,285
763811,Midfielder,Medium,64,85,81,92,20,39,21,600,1,0,67,54,70,false,50,50,30453,99,11,16,207,281
763820,Midfielder,High,64,92,90,95,20,39,27,600,1,0,62,51,70,false,50,50,26986,99,9,13,211,277
763821,Defender,Low,64,81,77,94,20,39,54,600,4,0,61,51,70,false,50,50,27214,99,10,16,218,294
763822,Defender,Medium,64,86,81,93,20,39,50,600,2,0,61,52,70,false,50,50,31030,99,10,16,203,304
763823,Defender,High,64,90,86,94,20,39,60,600,2,0,60,50,70,false,50,50,30645,99,8,13,221,281
763816,Forward,Low,64,82,80,93,20,39,132,600,1,0,61,51,70,false,50,50,29116,99,11,16,213,289
763817,Forward,Medium,63,90,88,96,20,39,163,600,2,0,62,52,70,false,50,50,29486,99,8,12,222,293
763818,Forward,High,64,91,89,93,20,39,202,600,3,0,64,52,70,false,50,50,28489,99,10,13,199,271
763819,Midfielder,Low,64,81,78,93,20,39,25,600,4,0,65,52,70,false,50,50,28590,99,8,13,203,284
763828,Midfielder,Medium,64,86,83,93,20,39,28,600,0,0,62,51,70,false,50,50,27467,99,7,10,225,297
763829,Midfielder,High,64,91,89,94,20,39,36,600,3,0,61,51,70,false,50,50,27274,99,9,13,212,288
763830,Defender,Low,64,80,77,93,20,39,50,600,3,0,65,52,70,false,50,50,29222,99,8,12,194,290
763831,Defender,Medium,64,87,84,94,20,39,68,600,2,0,66,52,70,false,50,50,29903,99,8,14,214,294
763824,Defender,High,64,89,85,93,20,39,75,600,5,0,58,50,70,false,50,50,26368,99,11,18,213,299
763825,Forward,Low,64,82,80,93,20,39,169,600,1,0,58,50,70,false,50,50,26695,99,12,16,214,282
763826,Forward,Medium,63,87,85,93,20,39,162,600,1,0,58,50,70,false,50,50,27679,99,10,16,200,293
763827,Forward,High,62,90,89,93,20,39,165,600,2,0,58,50,70,false,50,50,27535,99,8,12,209,298
763836,Midfielder,Low,64,81,79,93,20,39,23,600,1,0,56,50,70,false,50,50,25060,99,8,12,210,289
763837,Midfielder,Medium,64,87,84,94,20,39,28,600,2,0,55,50,70,false,50,50,24919,99,11,14,217,299
763838,Midfielder,High,64,92,89,95,20,39,30,600,2,0,59,50,70,false,50,50,29267,99,10,18,218,315
763839,Defender,Low,64,84,81,97,20,39,50,600,3,0,60,50,70,false,50,50,29745,99,13,19,205,291
763832,Defender,Medium,64,88,85,96,20,39,57,600,2,0,56,50,70,false,50,50,26350,99,11,15,225,281
763833,Defender,High,64,89,86,93,20,39,63,600,3,0,56,50,70,false,50,50,26322,99,10,15,208,280
763834,Forward,Low,64,82,80,93,20,39,167,600,1,0,58,50,70,false,50,50,25561,99,10,17,214,288
763835,Forward,Medium,63,88,86,94,20,39,169,600,4,0,58,50,70,false,50,50,25318,99,9,16,219,291
763716,Forward,High,64,91,89,94,20,39,205,587,2,0,48,50,70,false,50,50,12938,99,9,13,207,281
763717,Midfielder,Low,64,83,80,95,20,39,36,588,2,0,48,50,70,false,50,50,13188,99,8,13,216,290
763718,Midfielder,Medium,64,86,84,93,20,39,33,586,3,0,47,50,70,false,50,50,12266,99,8,10,219,294
763719,Midfielder,High,64,89,88,93,20,39,30,585,2,0,47,50,70,false,50,50,12394,99,8,15,212,290
763712,Defender,Low,64,82,78,95,20,39,52,589,0,0,48,50,70,false,50,50,13604,98,9,17,217,283
763713,Defender,Medium,64,86,83,94,20,39,62,590,4,0,48,50,70,false,50,50,13716,99,7,10,232,306
763714,Defender,High,64,90,87,94,20,39,48,588,1,0,47,50,70,false,50,50,13899,98,10,15,209,287
763715,Forward,Low,63,80,78,91,20,39,183,589,3,0,47,50,70,false,50,50,13837,99,10,19,227,297
763724,Forward,Medium,64,87,85,93,20,39,193,591,4,0,48,50,70,false,50,50,13631,98,11,17,220,309
763725,Forward,High,63,90,89,93,20,39,184,590,2,0,48,50,70,false,50,50,13938,99,8,10,250,301
763726,Midfielder,Low,64,81,77,93,20,39,36,589,3,0,48,50,70,false,50,50,14246,99,9,12,217,292
763727,Midfielder,Medium,64,87,85,94,20,39,22,589,2,0,48,50,70,false,50,50,14434,99,12,19,224,296
763720,Midfielder,High,64,90,87,93,20,39,24,595,3,0,48,50,70,false,50,50,14533,99,7,11,207,285
763721,Defender,Low,64,82,79,95,20,39,47,595,1,0,48,50,70,false,50,50,14366,99,9,15,195,291
763722,Defender,Medium,64,87,83,94,20,39,59,591,2,0,48,50,70,false,50,50,14939,99,8,11,217,290
763723,Defender,High,64,89,87,94,20,39,53,590,3,0,48,50,70,false,50,50,15076,99,10,18,226,299
763732,Forward,Low,64,82,80,93,20,39,171,587,1,0,41,50,70,false,50,50,12205,99,8,14,212,292
763733,Forward,Medium,64,86,84,92,20,39,178,587,3,0,41,50,70,false,50,50,12812,99,8,13,217,295
763734,Forward,High,64,93,91,96,20,39,209,588,2,0,42,50,70,false,50,50,13425,98,9,12,228,282
763735,Midfielder,Low,64,81,78,93,20,39,22,588,2,0,42,50,70,false,50,50,13425,99,6,8,231,289
763728,Midfielder,Medium,64,87,85,93,20,39,35,591,2,0,41,50,70,false,50,50,13907,99,8,14,221,274
763729,Midfielder,High,64,89,86,93,20,39,29,591,0,0,41,50,70,false,50,50,14286,99,11,14,226,284
763730,Defender,Low,64,84,80,96,20,39,50,592,1,0,42,50,70,false,50,50,15694,99,10,17,223,294
763731,Defender,Medium,64,85,82,93,20,39,43,591,4,0,42,50,70,false,50,50,15545,99,9,16,214,283
763740,Defender,High,64,92,89,96,20,39,67,599,1,0,42,50,70,false,50,50,15018,99,10,15,211,291
763741,Forward,Low,64,82,79,93,20,39,179,598,2,0,41,50,70,false,50,50,15043,99,11,16,222,309
763742,Forward,Medium,64,87,85,93,20,39,184,589,4,0,41,50,70,false,50,50,14059,99,10,16,219,301
763743,Forward,High,64,92,90,95,20,39,183,589,1,0,41,50,70,false,50,50,14222,99,8,12,222,292
763736,Midfielder,Low,64,80,76,92,20,39,39,580,3,0,41,50,70,false,50,50,12715,98,9,11,215,314
763737,Midfielder,Medium,64,87,85,94,20,39,33,580,2,0,41,50,70,false,50,50,13055,98,9,13,191,279
763738,Midfielder,High,64,89,87,93,20,39,27,591,0,0,41,50,70,false,50,50,14736,99,11,17,205,292
763739,Defender,Low,64,82,78,94,20,39,65,593,3,0,42,50,70,false,50,50,15008,99,9,14,220,286
763748,Defender,Medium,64,87,82,95,20,39,65,600,1,0,51,50,70,false,50,50,18616,99,9,13,186,259
763749,Defender,High,64,90,87,94,20,39,66,600,2,0,51,50,70,false,50,50,18314,99,12,20,191,297
763750,Forward,Low,64,85,82,96,20,39,175,600,1,0,50,50,70,false,50,50,17394,99,11,17,235,294
763751,Forward,Medium,64,90,88,97,20,39,173,600,2,0,50,50,70,false,50,50,17500,99,11,18,202,291
763744,Forward,High,64,90,88,93,20,39,167,596,3,0,51,50,70,false,50,50,15798,99,8,11,226,295
763745,Midfielder,Low,64,79,77,90,20,39,26,597,1,0,51,50,70,false,50,50,16024,99,9,11,198,272
763746,Midfielder,Medium,64,90,88,97,20,39,24,599,1,0,50,50,70,false,50,50,16976,99,12,17,218,305
763747,Midfielder,High,64,89,87,93,20,39,29,598,2,0,50,50,70,false,50,50,17160,99,11,17,227,298
763756,Defender,Low,64,82,78,94,20,39,52,594,6,0,47,50,70,false,50,50,15230,99,10,14,205,275
763757,Defender,Medium,64,86,83,94,20,39,55,594,3,0,47,50,70,false,50,50,15962,99,12,16,218,290
763758,Defender,High,64,89,87,94,20,39,69,595,3,0,46,50,70,false,50,50,16548,99,9,12,201,269
763759,Forward,Low,64,83,81,94,20,39,173,595,0,0,46,50,70,false,50,50,16749,99,10,17,203,316
763752,Forward,Medium,64,87,85,93,20,39,170,600,0,0,47,50,70,false,50,50,19072,99,14,20,215,288
763753,Forward,High,64,91,90,94,20,39,180,600,1,0,47,50,70,false,50,50,18569,99,9,17,214,291
763754,Midfielder,Low,64,82,79,94,20,39,22,598,2,0,46,50,70,false,50,50,17775,99,10,16,209,276
763755,Midfielder,Medium,64,86,84,93,20,39,29,598,2,0,46,50,70,false,50,50,18161,99,10,15,194,283
763764,Midfielder,High,64,90,85,93,20,39,28,597,1,0,54,50,70,false,50,50,17755,99,7,9,227,293
763765,Defender,Low,64,82,78,94,20,39,50,599,2,0,54,50,70,false,50,50,17870,99,12,18,228,296
763766,Defender,Medium,64,88,85,96,20,39,60,586,2,0,52,50,70,false,50,50,14688,99,9,15,201,275
763767,Defender,High,64,92,89,97,20,39,62,587,1,0,52,50,70,false,50,50,14931,99,13,21,211,286
763760,Forward,Low,64,81,79,93,20,39,167,600,1,0,54,50,70,false,50,50,22640,99,9,14,225,300
763761,Forward,Medium,64,88,86,94,20,39,160,600,3,0,54,50,70,false,50,50,22204,99,10,13,242,308
763762,Forward,High,64,90,88,93,20,39,200,600,3,0,52,50,70,false,50,50,15930,99,8,12,229,295
763763,Midfielder,Low,64,81,78,93,20,39,30,599,0,0,52,50,70,false,50,50,16570,99,10,15,209,280
763772,Midfielder,Medium,64,89,87,96,20,39,29,599,4,0,53,50,70,false,50,50,20342,99,12,20,216,288
763773,Midfielder,High,64,91,88,95,20,39,23,599,2,0,53,50,70,false,50,50,20487,99,9,12,216,280
763774,Defender,Low,64,81,77,94,20,39,55,595,2,0,53,50,70,false,50,50,16896,99,9,13,225,282
763775,Defender,Medium,64,86,83,94,20,39,62,595,1,0,53,50,70,false,50,50,17299,99,13,18,196,282
763768,Defender,High,64,89,85,93,20,39,55,598,2,0,53,50,70,false,50,50,18008,99,9,12,241,279
763769,Forward,Low,64,84,81,95,20,39,159,599,1,0,53,50,70,false,50,50,17948,99,8,11,216,286
763770,Forward,Medium,64,87,85,93,20,39,163,600,1,0,53,50,70,false,50,50,23858,99,9,13,237,293
763771,Forward,High,64,90,89,93,20,39,169,600,0,0,53,50,70,false,50,50,24482,99,11,16,205,275
763652,Midfielder,Low,64,83,81,95,20,39,26,600,0,0,52,50,70,false,50,50,24890,99,10,15,212,268
763653,Midfielder,Medium,64,87,85,94,20,39,22,600,0,0,53,50,70,false,50,50,25312,99,10,16,212,296
763654,Midfielder,High,64,89,88,93,20,39,22,600,5,0,48,50,70,false,50,50,25467,99,9,13,181,211
763655,Defender,Low,64,80,77,93,20,39,46,600,0,0,49,50,70,false,50,50,25448,99,13,21,219,287
763648,Defender,Medium,64,85,80,92,20,39,52,600,1,0,47,50,70,false,50,50,23740,99,11,17,220,289
763649,Defender,High,64,92,89,96,20,39,63,600,2,0,47,50,70,false,50,50,23421,99,11,19,226,305
763650,Forward,Low,64,83,81,94,20,39,144,600,3,0,55,50,70,false,50,50,28136,99,12,17,206,303
763651,Forward,Medium,63,86,85,93,20,39,166,600,3,0,54,50,70,false,50,50,27583,99,9,15,217,287
763660,Forward,High,64,92,90,95,20,39,182,600,3,0,52,50,70,false,50,50,27114,99,9,11,203,274
763661,Midfielder,Low,64,81,76,93,20,39,24,600,5,0,53,50,70,false,50,50,26961,99,9,16,220,306
763662,Midfielder,Medium,64,87,84,94,20,39,30,600,3,0,61,53,70,false,50,50,31034,99,12,20,225,293
763663,Midfielder,High,64,91,89,94,20,39,28,600,4,0,61,54,70,false,50,50,30962,99,8,15,240,305
763656,Defender,Low,64,82,78,94,20,39,45,600,2,0,53,50,70,false,50,50,26592,99,12,19,227,305
763657,Defender,Medium,64,87,84,94,20,39,50,600,3,0,54,50,70,false,50,50,27054,99,7,10,220,290
763658,Defender,High,64,89,87,94,20,39,56,600,1,0,52,50,70,false,50,50,24844,99,13,17,195,279
763659,Forward,Low,64,82,80,93,20,39,181,600,2,0,49,50,70,false,50,50,23762,99,8,13,207,299
763668,Forward,Medium,64,86,84,92,20,39,188,600,1,0,52,50,70,false,50,50,25729,99,9,13,211,284
763669,Forward,High,64,93,92,96,20,39,172,600,0,0,53,50,70,false,50,50,25992,99,12,15,210,290
763670,Midfielder,Low,64,82,80,94,20,39,26,600,1,0,59,50,70,false,50,50,27802,99,8,12,195,273
763671,Midfielder,Medium,64,86,84,93,20,39,36,600,1,0,58,50,70,false,50,50,27602,99,10,18,195,275
763664,Midfielder,High,64,93,91,97,20,39,39,600,2,0,61,51,70,false,50,50,28327,99,8,11,214,287
763665,Defender,Low,64,83,80,96,20,39,53,600,1,0,61,51,70,false,50,50,28362,99,8,12,211,291
763666,Defender,Medium,64,89,85,97,20,39,59,600,3,0,64,51,70,false,50,50,30603,99,13,19,199,266
763667,Defender,High,64,89,86,93,20,39,59,600,2,0,66,51,70,false,50,50,31019,99,12,18,204,297
763676,Forward,Low,62,80,78,91,20,39,152,600,1,0,63,51,70,false,50,50,29670,99,9,13,214,313
763677,Forward,Medium,64,88,86,94,20,39,206,600,1,0,62,51,70,false,50,50,29344,99,12,16,212,290
763678,Forward,High,63,92,90,95,20,39,178,600,3,0,53,50,70,false,50,50,25227,99,9,15,218,284
763679,Midfielder,Low,64,80,78,92,20,39,26,600,3,0,55,50,70,false,50,50,25603,99,8,13,200,297
763672,Midfielder,Medium,64,87,85,93,20,39,26,600,2,0,51,50,70,false,50,50,24353,99,10,16,216,310
763673,Midfielder,High,64,90,88,93,20,39,38,600,0,0,51,50,70,false,50,50,24340,99,11,15,207,310
763674,Defender,Low,64,81,77,94,20,39,51,600,0,0,65,51,70,false,50,50,31032,99,8,12,211,289
763675,Defender,Medium,64,86,83,94,20,39,47,600,1,0,65,51,70,false,50,50,30838,99,8,11,220,283
763684,Defender,High,64,90,85,94,20,39,64,580,3,0,52,50,70,false,50,50,13933,99,8,12,203,275
763685,Forward,Low,64,82,79,93,20,39,149,581,3,0,52,50,70,false,50,50,14353,99,13,22,214,293
763686,Forward,Medium,64,88,86,94,20,39,173,582,3,0,52,50,70,false,50,50,13715,97,8,12,189,267
763687,Forward,High,64,92,90,95,20,39,194,579,2,0,52,50,70,false,50,50,13632,97,10,12,204,277
763680,Midfielder,Low,64,77,75,89,20,39,28,588,0,0,54,50,70,false,50,50,14866,99,12,19,226,299
763681,Midfielder,Medium,64,88,86,95,20,39,18,587,0,0,54,50,70,false,50,50,15006,99,13,19,195,284
763682,Midfielder,High,64,89,88,93,20,39,20,581,2,0,55,50,70,false,50,50,14274,97,10,14,218,292
763683,Defender,Low,64,83,77,96,20,39,57,583,2,0,55,50,70,false,50,50,14596,97,8,12,225,298
763692,Defender,Medium,64,85,82,93,20,39,80,581,2,0,49,50,70,false,50,50,13504,98,8,10,230,286
763693,Defender,High,64,92,89,96,20,39,65,581,0,0,49,50,70,false,50,50,13618,98,10,17,209,293
763694,Forward,Low,64,84,82,96,20,39,189,585,2,0,50,50,70,false,50,50,14245,99,7,9,192,278
763695,Forward,Medium,64,89,87,96,20,39,208,584,2,0,51,50,70,false,50,50,14198,99,12,22,204,315
763688,Forward,High,64,93,91,96,20,39,180,581,1,0,52,50,70,false,50,50,14428,99,9,13,207,298
763689,Midfielder,Low,64,80,76,92,20,39,26,580,2,0,52,50,70,false,50,50,14563,99,9,13,211,283
763690,Midfielder,Medium,64,88,86,95,20,39,24,582,1,0,51,50,70,false,50,50,14129,97,11,17,210,284
763691,Midfielder,High,64,90,87,93,20,39,16,582,2,0,51,50,70,false,50,50,14156,97,11,17,224,295
763700,Defender,Low,64,83,79,96,20,39,46,580,2,0,54,50,70,false,50,50,14293,99,8,12,224,281
763701,Defender,Medium,64,88,84,95,20,39,56,581,2,0,54,50,70,false,50,50,14508,99,14,19,226,299
763702,Defender,High,64,92,90,97,20,39,69,576,3,0,52,50,70,false,50,50,13298,96,7,9,198,289
763703,Forward,Low,63,83,81,94,20,39,173,577,3,0,51,50,70,false,50,50,13257,96,8,10,205,284
763696,Forward,Medium,62,84,82,90,20,39,150,588,3,0,53,50,70,false,50,50,15374,99,10,14,207,298
